feature,pearson_overall,spearman_overall,pearson_seed_centered,spearman_seed_centered,selection_status
pre_rotation_nll_slope,-0.1903471621665778,-0.1757983193277311,-0.1788033358009058,-0.21027611044417766,not_selected
state_effective_rank,-0.20577315065991322,-0.2557022809123649,-0.22347556447289474,-0.2265066026410564,selected_for_fresh_test
b_hidden_effective_rank,0.0356704656551599,0.062184873949579826,0.05191927333794276,0.10857142857142857,not_selected
b_state_grad_norm,-0.061768726433183166,-0.09262905162064825,-0.05438852441720661,-0.05968787515006002,not_selected
