seed,hidden_width,family,rank_slope,effect_keep0,effect_keep3,effect_keep6,effect_keep12
20000,32,0,-0.3135294752618985,1.4897012821797437,2.2592602386255987,-1.4711765402971033,-1.5826365190074707
20000,32,1,-0.21726443048029354,-1.5704772093347419,0.03380058105838213,-0.6624732470910057,-3.6713589639453197
20000,32,2,-0.4306342549342612,-0.7711660888049696,-0.05746544710049317,-1.8554709021128044,-5.4368538698801
20000,32,3,-0.0666298631285762,0.5057136963872546,0.24633453408489592,0.838895826093438,-0.3951146641809409
20000,32,4,-0.006042826827561691,-0.4873748589965565,-0.2772161946648275,-0.5278461252364597,-0.4833248098475442
20000,48,0,-0.1266236920889759,0.9637558796473327,-0.5716653866916275,-0.19391426104099274,-0.8966976012050027
20000,48,1,-0.3420311662519401,0.5766180374159273,-0.10920240846519214,-2.0527962319881854,-3.350195243105512
20000,48,2,-0.37239574334341224,-1.082908687664768,-1.8425433219699126,-2.388050512118608,-5.535721479833644
20000,48,3,-0.12075254555599396,0.8078791364642304,0.024323220891057762,0.053518962185075125,-0.7782680697379618
20000,48,4,-0.0912240597084444,0.7893342157514045,-1.5052812686811725,-0.9010187257754598,-0.8520013154883204
20100,32,0,-0.22765083054059485,2.082489621471576,0.2537672328473679,-0.8304763833676096,-0.8593479749501896
20100,32,1,-0.3009438524241945,-0.2665440608317664,0.09908966336289682,-1.022767140142191,-3.571652977792435
20100,32,2,-0.2431739182964738,0.4154691937669823,-0.49653842948756166,-0.8685628723698935,-2.582892164539296
20100,32,3,-0.28155779516970453,1.1203342569949504,0.3256582319567576,-0.060134722903921745,-2.298235475008903
20100,32,4,-0.10441136232707096,0.7321695575977083,-1.166591278128355,0.25353715857068915,-1.0657019037904716
20100,48,0,-0.10426882320511119,0.3567866926884298,0.9185473483894642,1.3646457527085198,-0.7844136994730881
20100,48,1,-0.222851906599565,0.3056184562724056,0.5280584117372316,-2.5013078085015317,-1.9082931061482507
20100,48,2,-0.41708557990968587,0.674965883813031,0.5365967585728084,-0.867533471893184,-4.0657667729126885
20100,48,3,-0.35835429287689524,0.510290222500176,0.2164973216778332,-3.0651329797203157,-3.3711715833132176
20100,48,4,-0.12240335638868786,0.3631886947929095,0.2733042329870443,-0.6133740293111556,-0.9863049809988409
20200,32,0,-0.15287785416044194,0.8524327890928323,0.6988221419859562,-1.3727261999942506,-0.7351058374716066
20200,32,1,-0.36035163171532636,-1.1591100671913193,-0.4817523774483119,0.37971969278552997,-5.308407625064331
20200,32,2,-0.38415933746588593,1.7321163716427974,-0.9742467013519884,-0.19867907865200096,-3.4373307619802667
20200,32,3,-0.10132194726435188,0.6471925953057487,0.9253205334520413,0.5176938914792024,-0.4277987318599763
20200,32,4,-0.14607340732708782,-0.5067466289951366,0.4628297176186109,-0.44339618383696067,-1.8947832039574877
20200,48,0,-0.26959627669921515,0.890569677446976,-0.6130948034992549,-1.6031366055507377,-2.478863235137309
20200,48,1,-0.4825028612628922,0.4338308924599863,0.6797603444521567,-0.6643365199166023,-4.991374070234523
20200,48,2,-0.21090645233770305,0.5441520479755795,-0.2248902196650322,-0.8830206613387777,-2.0141959063651207
20200,48,3,-0.13816744268065928,-0.1938762619107708,-0.10300899598193158,-0.12795988130503488,-1.782864713498376
20200,48,4,-0.09357449126353676,0.1135293040155414,-0.4333609517090844,-0.6908514932549537,-1.0710942018260967
20300,32,0,0.011967472382597885,0.20065855937647914,0.42730652347922504,1.6498249196129073,0.2548099074036556
20300,32,1,-0.3360670835579217,0.1373117932742529,-0.3825467411159371,-1.8730934331722588,-3.7333786678708405
20300,32,2,-0.21845584927102632,0.04770256771378811,0.062098074466290676,-0.7448335540420441,-2.408090935780037
20300,32,3,-0.4312191991574746,-0.5178683280380696,-1.341986172922648,-3.5874096534090114,-5.482404785906696
20300,32,4,-0.039323944999119995,0.3593290915731986,0.8688445377826941,-0.7665883013604065,0.19549014786814212
20300,48,0,0.06213583124123692,-1.2347849581251387,-0.600675186111971,-0.25489666957176826,-0.4073734794789159
20300,48,1,-0.46887777977559325,0.29097472345655007,0.45064634184210206,-0.11473884058870087,-5.080962882902937
20300,48,2,-0.37088317776502594,-0.0844588622968625,-3.196726332636544,-2.0805821712536665,-5.227060280895747
20300,48,3,-0.041307103904839215,1.0649731821826158,0.783702570281489,0.6009246973543978,0.5408610420844742
20300,48,4,0.05608595145779244,0.18249753135951963,1.165760233138927,0.4895122216795089,1.1304751222580127
20400,32,0,-0.16310639431649468,-0.39498835377539265,-0.4167996317037126,-2.051622026792982,-2.1210963053308722
20400,32,1,-0.400174419987489,1.129602720390615,-0.25211834550704726,-2.0093587353138274,-3.6508990396843735
20400,32,2,-0.33847792067187854,1.1287811591060208,-1.7110657349290435,-1.4852639529528195,-3.4762940898488237
20400,32,3,-0.17090290339379735,0.9300434266058448,-0.03844003404821805,0.49839271209300584,-1.3386904093717185
20400,32,4,-0.13095675281887312,0.9881607291229635,0.2500014665531056,-0.41863850421716364,-0.6294101153604945
20400,48,0,-0.23460834685271476,0.8461020750143944,-0.7723396013005654,-1.1966198509189465,-2.2035067608241152
20400,48,1,-0.40472115961725497,0.18806780786510036,0.13367939978852972,-3.069696639632072,-4.18983469619538
20400,48,2,-0.12770313446326056,0.048836009136237646,1.021296368629431,-0.18909987177848686,-1.0904431196691022
20400,48,3,-0.17508338409701105,0.3598402521016095,0.0632538399814937,-0.17441173305862412,-1.7223000347190878
20400,48,4,-0.1491417225732872,0.0930269088931297,0.413555747316515,-0.08087876322901622,-1.5207940558627433
