seed,condition,interpolated_span,discrete_span,high_crossing,low_crossing
32000,JA_TJA,111.72624724747931,112,0.4750647058735261,112.20131195335283
32000,JA_TEN,103.24809280806355,103,0.18293406961758213,103.43102687768113
32001,JA_TJA,153.8245840930583,154,0.40830560437573726,154.23288969743402
32001,JA_TEN,151.34289550867078,151,0.08637140009034018,151.42926690876112
32002,JA_TJA,186.84346072767357,187,0.7403533125969589,187.58381404027054
32002,JA_TEN,185.32876159126738,185,0.5196731972718363,185.8484347885392
32003,JA_TJA,160.21841630269486,160,0.5676933355754835,160.78610963827035
32003,JA_TEN,151.10998905626246,151,0.3297658761046145,151.43975493236707
32004,JA_TJA,166.67865394987456,167,0.8072512166320002,167.48590516650657
32004,JA_TEN,161.41310801448319,162,0.6564435062223091,162.0695515207055
32005,JA_TJA,155.84226165664614,156,0.8051030692954448,156.6473647259416
32005,JA_TEN,147.92992380978788,148,0.5144607577661674,148.44438456755404
32006,JA_TJA,166.79669317232575,167,0.7903797731959897,167.58707294552173
32006,JA_TEN,161.2834789364656,161,0.542812569472382,161.82629150593797
32007,JA_TJA,144.73121615408087,145,0.8924303634686498,145.62364651754953
32007,JA_TEN,133.7874238856011,134,0.6600470405582105,134.4474709261593
32008,JA_TJA,183.3763147196017,184,0.7542358062989623,184.13055052590067
32008,JA_TEN,177.8780379457373,178,0.5251948248134183,178.40323277055072
32009,JA_TJA,114.34828400872874,115,0.0,114.34828400872874
32009,JA_TEN,105.32286852589641,106,0.0,105.32286852589641
