seed,family,rank_slope,effect_keep0,effect_keep3,effect_keep6,effect_keep12
22000,0,-0.13907995984537094,-1.4112908590265336,0.4261231458897381,-2.6953997977771627,-2.2787402846114793
22000,1,-0.6290771345900562,-0.8104134870326547,-2.8905340263210775,-3.5269266656839857,-8.54118543938486
22000,2,-0.5468458277705994,0.17602060619103543,-1.2874880322346103,-1.1715548752079883,-6.541952988230172
22000,3,-0.4410639118607396,2.3034798199180235,-0.3876377165731073,-0.0696198459691475,-3.4756272566335173
22000,4,-0.15458101210708544,0.38837027285876946,0.4378985145905707,-0.05916811077794115,-1.3488389674092147
22100,0,-0.042675179916714406,-0.41424437307220696,0.40478229371215946,-0.1241302913067619,-0.6713474811463582
22100,1,-0.4942633539848442,0.026043707137693772,-2.436904133577725,-2.258128105540637,-6.307547834848592
22100,2,-0.4900252478106728,0.1433066284458402,-0.6913675869733646,-2.484040297666314,-5.559951898250394
22100,3,-0.045869810445498926,0.15921040972117906,-1.6146722781875593,-0.5343931697743631,-0.8901645437241608
22100,4,-0.1907627980291584,0.6485747534187594,-0.9644083619065196,-0.9818370925628646,-1.9334953902541123
