seed,hidden_width,max_orth_err,mean_retained_energy_keep0,mean_retained_energy_keep3,mean_retained_energy_keep6,mean_retained_energy_keep12
5400,32,8.34465027e-07,0,0.235647981,0.467994609,1
5400,64,9.53674316e-07,0,0.236128704,0.468253577,0.999999995
5400,128,7.74860382e-07,0,0.235912025,0.468005327,1.00000002
5500,32,7.15255737e-07,0,0.264563671,0.472667601,1.00000002
5500,48,7.15255737e-07,0,0.264590036,0.473239937,1.00000001
5500,64,1.01327896e-06,0,0.264560042,0.473407059,0.999999998
5500,96,7.15255737e-07,0,0.264361105,0.47304886,1
5500,128,7.15255737e-07,0,0.26422431,0.473308675,0.999999999
5600,32,9.53674316e-07,0,0.311703879,0.586702852,1.00000002
5600,48,9.53674316e-07,0,0.311856876,0.586609685,1
