seed,family,rank_slope,effect_keep0,effect_keep3,effect_keep6,effect_keep12
22000,0,-0.1390799598453709,-1.4112908590265363,0.4261231458897399,-2.6953997977771635,-2.27874028461148
22000,1,-0.6290771345900561,-0.8104134870326547,-2.8905340263210775,-3.5269266656839875,-8.541185439384858
22000,2,-0.5468458277705995,0.1760206061910381,-1.287488032234613,-1.1715548752079883,-6.541952988230172
22000,3,-0.4410639118607398,2.3034798199180244,-0.3876377165731064,-0.06961984596914661,-3.475627256633519
22000,4,-0.15458101210708597,0.3883702728587721,0.4378985145905716,-0.059168110777939376,-1.3488389674092183
22100,0,-0.04267517991671443,-0.41424437307220785,0.40478229371215946,-0.12413029130676279,-0.6713474811463591
22100,1,-0.4942633539848443,0.02604370713769555,-2.436904133577727,-2.258128105540635,-6.307547834848592
22100,2,-0.49002524781067314,0.14330662844584197,-0.6913675869733638,-2.4840402976663114,-5.559951898250397
22100,3,-0.04586981044549873,0.15921040972117595,-1.6146722781875589,-0.5343931697743614,-0.8901645437241612
22100,4,-0.19076279802915846,0.6485747534187567,-0.9644083619065213,-0.9818370925628628,-1.9334953902541159
