cohort,identity_effect_mean,rotated_effect_mean,identity_minus_rotated_mean,n_diff_negative
seed4900,-2.6078817973276913,0.0728748162700896,-2.6807566135977807,5
seed5000,-1.9098548289193993,-0.051051242183441994,-1.8588035867359571,4
seed5100,-2.606483171437927,-0.22521813558540343,-2.381265035852523,5
3seed_family_mean,-2.3747399325616723,-0.06779818716625194,-2.3069417453954206,5
