seed,hidden_width,family,rank_slope,state_effective_rank,state_rank_centered,rank_slope_centered
21000,32,0,0.0825430926150547,9.854386417687492,-0.013737287237026052,0.21856388085084877
21000,32,1,-0.4316822665199994,9.5691354755736,-0.2989882293509183,-0.2956614782842053
21000,32,2,-0.18979808452475858,9.814240369528756,-0.05388333539576173,-0.05377729628896449
21000,32,3,-0.04442792668723228,9.988303013633365,0.12017930870884719,0.0915928615485618
21000,32,4,-0.09673875606203491,10.114553248199371,0.24642954327485356,0.03928203217375917
21000,48,0,0.09348503619126944,9.83100906628036,-0.03546158780515363,0.15039365196030785
21000,48,1,-0.22012706351834327,9.5867450958929,-0.2797255581926148,-0.16321844774930483
21000,48,2,-0.2560057800422006,9.794929079200092,-0.07154157488542268,-0.19909716427316215
21000,48,3,0.014282889429716448,9.9886131684798,0.12214251439428558,0.07119150519875488
21000,48,4,0.08382183909436583,10.131056860574423,0.26458620648890907,0.14073045486340424
21100,32,0,-0.3608588262554226,9.945230101268969,-0.05167921751318083,0.011309026257209975
21100,32,1,-0.6996129884195301,10.178519735105573,0.1816104163234229,-0.32744513590689756
21100,32,2,-0.4175952301212391,10.14639584141615,0.14948652263399964,-0.045427377608606545
21100,32,3,-0.39111173814451644,9.554249699632692,-0.44265961914945784,-0.018943885631883872
21100,32,4,0.008339520377545451,10.160151216487364,0.16324189770521436,0.380507372890178
21100,48,0,-0.09077256612439025,9.955742033751068,-0.05141341797045129,0.14009534279902605
21100,48,1,-0.5243860416083306,10.200316808360087,0.19316135663856748,-0.2935181326849143
21100,48,2,-0.24058380305532323,10.13763341239298,0.13047796067145967,-0.009715894131906933
21100,48,3,-0.19914836969687416,9.576287881407804,-0.4308675703137155,0.03171953922654214
21100,48,4,-0.09944876413216328,10.165797122695656,0.15864167097413606,0.13141914479125302
21200,32,0,-0.05638724498802234,9.805510053195926,0.08875189042049136,0.15834889602695904
21200,32,1,-0.11614900652755421,9.747621515743935,0.030863352968500735,0.09858713448742716
21200,32,2,-0.45324405474401946,9.859499133162256,0.14274097038682143,-0.2385079137290381
21200,32,3,-0.1752647413363322,9.8596557604497,0.14289759767426524,0.039471399678649155
21200,32,4,-0.27263565747897867,9.31150435132536,-0.4052538114500752,-0.0578995164639973
21200,48,0,-0.2769134813821158,9.78479119567396,0.06856876139881152,-0.018751587142400494
21200,48,1,-0.19541163787068994,9.729368049671224,0.013145615396075172,0.06275025636902537
21200,48,2,-0.28289396571145853,9.848666735701045,0.13244430142589536,-0.024732071471743222
21200,48,3,-0.34657976895183223,9.896231583364928,0.18000914908977883,-0.08841787471211693
21200,48,4,-0.18901061728248,9.322054606964592,-0.39416782731055733,0.0691512769572353
21300,32,0,0.0982297880195723,9.366393748650076,-0.23442281313107394,0.13235796752059145
21300,32,1,0.016459901240012585,9.474967448314011,-0.12584911346713845,0.05058808074103174
21300,32,2,-0.17551971192527735,9.349950801641649,-0.2508657601395008,-0.1413915324242582
21300,32,3,-0.16173005278304642,9.76577213349311,0.1649555717119604,-0.12760187328202727
21300,32,4,0.051919177943643084,10.046998676806908,0.4461821150257581,0.08604735744466224
21300,48,0,0.0029359550978773834,9.356341229890482,-0.24637209802994597,0.1253217852751665
21300,48,1,-0.2277867359819027,9.465001356052207,-0.13771197186822093,-0.10540090580461359
21300,48,2,-0.20634385094714974,9.381303636977982,-0.2214096909424459,-0.08395802076986064
21300,48,3,0.008721130229802547,9.758080490587638,0.1553671626672095,0.13110696040709166
21300,48,4,-0.18945564928507302,10.052839926093828,0.45012659817339973,-0.06706981910778392
21400,32,0,-0.09327679898710987,9.480897751390716,-0.21182618691461563,0.16711834680383975
21400,32,1,-0.35457350652490544,9.258420509757013,-0.4343034285483185,-0.0941783607339558
21400,32,2,-0.42133806323543094,10.057420400581025,0.36469646227569363,-0.1609429174444813
21400,32,3,-0.1675764375697023,9.57416994838448,-0.11855398992085142,0.09281870822124733
21400,32,4,-0.26521092263759966,10.092711081413428,0.39998714310809724,-0.004815776846650022
21400,48,0,0.0869116179110789,9.473215100491911,-0.21521266217274793,0.20606757122616848
21400,48,1,-0.20319485286679126,9.230433605254936,-0.4579941574097237,-0.08403889955170168
21400,48,2,-0.08052468672779566,10.06802474481559,0.37959698215093063,0.03863126658729392
21400,48,3,-0.24074604028268257,9.583646840126235,-0.10478092253842419,-0.12159008696759299
21400,48,4,-0.15822580460925723,10.086818522634628,0.39839075996996876,-0.03906985129416765
