seed,M_H32,M_H48,D,n_negative_H32,n_negative_H48,primary_D_positive,H48_all_negative
20000,-0.006042826827561691,-0.0912240597084444,0.08518123288088271,5,5,True,True
20100,-0.10441136232707096,-0.10426882320511119,-0.0001425391219597727,5,5,False,True
20200,-0.10132194726435188,-0.09357449126353676,-0.0077474560008151255,5,5,False,True
20300,0.011967472382597885,0.06213583124123692,-0.05016835885863904,4,3,False,False
20400,-0.13095675281887312,-0.12770313446326056,-0.003253618355612553,5,5,False,True
