seed,condition,JA_post_nll,EN_step0_nll,span_updates,censored,reference_high,reference_low,smoke_only,validation_only
32000,JA_nat,1.9715135097503662,3.2537298500537872,121.03051942572141,False,3.1455334544181826,2.5474373579025267,False,False
32000,JA_TJA,1.9495990425348282,3.249329537153244,117.01044031515002,False,3.1455334544181826,2.5474373579025267,False,False
32000,JA_TEN,1.9617976248264313,3.1832670867443085,104.66795239213396,False,3.1455334544181826,2.5474373579025267,False,False
32000,JA_TRU,1.9630188941955566,3.2437371015548706,118.43363959886774,False,3.1455334544181826,2.5474373579025267,False,False
32001,JA_nat,2.0083019584417343,3.2301487624645233,157.9276333049293,False,3.1555085599422457,2.552863347530365,False,False
32001,JA_TJA,1.9867850542068481,3.2271265387535095,150.98247251815204,False,3.1555085599422457,2.552863347530365,False,False
32001,JA_TEN,1.9998055845499039,3.1698631942272186,149.8051290207846,False,3.1555085599422457,2.552863347530365,False,False
32001,JA_TRU,2.0017553865909576,3.2285004556179047,156.06736382417793,False,3.1555085599422457,2.552863347530365,False,False
32002,JA_nat,1.9687840044498444,3.2740461230278015,196.97890216866327,False,3.1064704954624176,2.489077568054199,False,False
32002,JA_TJA,1.9458486884832382,3.2683387398719788,187.03509720758746,False,3.1064704954624176,2.489077568054199,False,False
32002,JA_TEN,1.9570797234773636,3.214279055595398,184.24732908321363,False,3.1064704954624176,2.489077568054199,False,False
32002,JA_TRU,1.9621347784996033,3.2684830725193024,194.0477238864498,False,3.1064704954624176,2.489077568054199,False,False
32003,JA_nat,1.90319462120533,3.2172398269176483,169.84721265959948,False,3.09462885260582,2.498355048894882,False,False
32003,JA_TJA,1.8823528587818146,3.2106312811374664,161.15898936018175,False,3.09462885260582,2.498355048894882,False,False
32003,JA_TEN,1.8930245786905289,3.159830689430237,151.84612650793684,False,3.09462885260582,2.498355048894882,False,False
32003,JA_TRU,1.8977381587028503,3.210534453392029,169.2027404730647,False,3.09462885260582,2.498355048894882,False,False
32004,JA_nat,1.971092700958252,3.3422642052173615,179.7759705901873,False,3.098214316368103,2.4745556235313417,False,False
32004,JA_TJA,1.9494129419326782,3.32296821475029,167.39741828530424,False,3.098214316368103,2.4745556235313417,False,False
32004,JA_TEN,1.961340606212616,3.2734521329402924,157.36857832309207,False,3.098214316368103,2.4745556235313417,False,False
32004,JA_TRU,1.96409510076046,3.3266095519065857,176.92832051223695,False,3.098214316368103,2.4745556235313417,False,False
32005,JA_nat,1.9440680742263794,3.208750993013382,166.47838744079078,False,3.048935902118683,2.4965708434581755,False,False
32005,JA_TJA,1.921787366271019,3.2218601405620575,160.02832781734708,False,3.048935902118683,2.4965708434581755,False,False
32005,JA_TEN,1.9345140755176544,3.1518445909023285,158.3249915857349,False,3.048935902118683,2.4965708434581755,False,False
32005,JA_TRU,1.936164379119873,3.214172512292862,166.06967217804174,False,3.048935902118683,2.4965708434581755,False,False
32006,JA_nat,1.9665915817022324,3.2005125284194946,174.58284477569816,False,3.0484134674072267,2.499701577425003,False,False
32006,JA_TJA,1.9434758871793747,3.209935814142227,163.23824803073293,False,3.0484134674072267,2.499701577425003,False,False
32006,JA_TEN,1.9541594088077545,3.15661883354187,159.69692093726118,False,3.0484134674072267,2.499701577425003,False,False
32006,JA_TRU,1.9573030173778534,3.2149332463741302,170.69573750019333,False,3.0484134674072267,2.499701577425003,False,False
32007,JA_nat,1.9371730536222458,3.330826908349991,157.26006847282264,False,3.123883533477783,2.5146049678325655,False,False
32007,JA_TJA,1.911312684416771,3.3386034667491913,146.45238630827635,False,3.123883533477783,2.5146049678325655,False,False
32007,JA_TEN,1.9264920353889465,3.274809330701828,131.16445798228855,False,3.123883533477783,2.5146049678325655,False,False
32007,JA_TRU,1.9272297024726868,3.3491006791591644,155.06389600070784,False,3.123883533477783,2.5146049678325655,False,False
32008,JA_nat,1.9334017187356949,3.222944885492325,194.6173823349104,False,3.0604885101318358,2.504892033338547,False,False
32008,JA_TJA,1.9060246050357819,3.2340064346790314,186.14947389927167,False,3.0604885101318358,2.504892033338547,False,False
32008,JA_TEN,1.9184156209230423,3.1740476489067078,172.14258238472655,False,3.0604885101318358,2.504892033338547,False,False
32008,JA_TRU,1.9224475771188736,3.227442592382431,190.72259475343148,False,3.0604885101318358,2.504892033338547,False,False
32009,JA_nat,1.9531612247228622,3.165296494960785,124.3425859165141,False,3.1586312353610992,2.5727115273475647,False,False
32009,JA_TJA,1.9309003502130508,3.150182217359543,120.9314060606277,False,3.1586312353610992,2.5727115273475647,False,False
32009,JA_TEN,1.942491129040718,3.1178922951221466,113.56017111908221,False,3.1586312353610992,2.5727115273475647,False,False
32009,JA_TRU,1.946599319577217,3.1618417501449585,123.62740379196418,False,3.1586312353610992,2.5727115273475647,False,False
