seed,condition,JA_post_nll,EN_step0_nll,span_updates,censored,reference_high,reference_low
31000,JA_TEN,1.968567743897438,3.223333865404129,114.36375812069537,False,3.1288242399692536,2.5600068509578704
31000,JA_TJA,1.9487953782081604,3.295030355453491,118.50837493325804,False,3.1288242399692536,2.5600068509578704
31000,JA_TRU,1.97922557592392,3.3240548968315125,139.74888202738737,False,3.1288242399692536,2.5600068509578704
31000,JA_nat,1.991111695766449,3.349583774805069,142.02357502101853,False,3.1288242399692536,2.5600068509578704
31001,JA_TEN,2.001035377383232,3.112263262271881,136.69292122996353,False,3.1003178358078003,2.4993829429149628
31001,JA_TJA,1.977598339319229,3.2261342108249664,148.7363401311002,False,3.1003178358078003,2.4993829429149628
31001,JA_TRU,2.007517978549004,3.214647054672241,154.9143018738259,False,3.1003178358078003,2.4993829429149628
31001,JA_nat,2.0187768936157227,3.2224943935871124,160.16294949745148,False,3.1003178358078003,2.4993829429149628
31002,JA_TEN,1.898468852043152,3.140134423971176,124.09801484104156,False,3.0916702806949616,2.5325974464416503
31002,JA_TJA,1.871683493256569,3.248735785484314,138.35232861999714,False,3.0916702806949616,2.5325974464416503
31002,JA_TRU,1.905331864953041,3.251714587211609,146.40769626412668,False,3.0916702806949616,2.5325974464416503
31002,JA_nat,1.9136919528245928,3.241737365722656,148.80882563327543,False,3.0916702806949616,2.5325974464416503
31003,JA_TEN,1.9387803226709368,3.1575241088867188,171.64355269082418,False,3.0821766197681426,2.488774961233139
31003,JA_TJA,1.919809103012085,3.261860728263855,176.07679643022283,False,3.0821766197681426,2.488774961233139
31003,JA_TRU,1.939936712384224,3.241236090660095,181.1999341221244,False,3.0821766197681426,2.488774961233139
31003,JA_nat,1.9550703465938568,3.2449991703033447,187.53723541881536,False,3.0821766197681426,2.488774961233139
31004,JA_TEN,1.991170093417168,3.195895195007324,124.26245076282082,False,3.202599835395813,2.5743719816207884
31004,JA_TJA,1.9693313986063004,3.292710453271866,133.57308782155758,False,3.202599835395813,2.5743719816207884
31004,JA_TRU,1.9948492497205732,3.287192225456238,142.1027738572626,False,3.202599835395813,2.5743719816207884
31004,JA_nat,2.0071216076612477,3.3035721480846405,148.23582936680785,False,3.202599835395813,2.5743719816207884
31005,JA_TEN,1.9240710735321045,3.142498940229416,127.27647485433388,False,3.067215996980667,2.474763643741608
31005,JA_TJA,1.8989071249961853,3.232875257730484,132.96496508254725,False,3.067215996980667,2.474763643741608
31005,JA_TRU,1.925597667694092,3.239475965499878,141.95063608224453,False,3.067215996980667,2.474763643741608
31005,JA_nat,1.9425424635410309,3.263874173164368,147.68876555989553,False,3.067215996980667,2.474763643741608
31006,JA_TEN,2.0079397708177567,3.153754949569702,137.9791983656186,False,3.0916510939598085,2.5460673749446867
31006,JA_TJA,1.9864516258239744,3.2537717521190643,145.99043388124164,False,3.0916510939598085,2.5460673749446867
31006,JA_TRU,2.013291880488396,3.247134417295456,159.1413592645083,False,3.0916510939598085,2.5460673749446867
31006,JA_nat,2.0248554944992065,3.2604293525218964,163.00292463309896,False,3.0916510939598085,2.5460673749446867
31007,JA_TEN,1.911882653832436,3.1940692365169525,146.96382111855826,False,3.1098349750041963,2.511148059368133
31007,JA_TJA,1.8938758820295332,3.2909995019435883,173.32260594013525,False,3.1098349750041963,2.511148059368133
31007,JA_TRU,1.916131556034088,3.2852645218372345,185.6852415616534,False,3.1098349750041963,2.511148059368133
31007,JA_nat,1.9344986528158188,3.2864304780960083,187.0977393602836,False,3.1098349750041963,2.511148059368133
31008,JA_TEN,1.919460356235504,3.1458530128002167,123.15291331984524,False,3.139645683765411,2.5615974187850954
31008,JA_TJA,1.8956996649503708,3.234431743621826,127.76743105902844,False,3.139645683765411,2.5615974187850954
31008,JA_TRU,1.922541856765747,3.238130986690521,135.9518589731302,False,3.139645683765411,2.5615974187850954
31008,JA_nat,1.9341877400875087,3.262389719486237,141.6646313967844,False,3.139645683765411,2.5615974187850954
31009,JA_TEN,1.9481758028268812,3.157231837511062,123.51791867094786,False,3.131194347143173,2.5321158826351167
31009,JA_TJA,1.9283528327941892,3.268980532884598,128.0647031665379,False,3.131194347143173,2.5321158826351167
31009,JA_TRU,1.9547830522060397,3.265809416770935,155.12358870462117,False,3.131194347143173,2.5321158826351167
31009,JA_nat,1.9669646173715591,3.266773104667664,156.07472875889655,False,3.131194347143173,2.5321158826351167
