seed,mode,TEN_minus_TJA_EN_final250,TEN_minus_TJA_EN_initial,TEN_minus_TJA_EN_gain,TEN_JA_shared_increase,TEN_JA_routed_increase,TJA_JA_shared_increase,TJA_JA_routed_increase
32000,FULL,0.0018474923711848668,-0.06557470551739542,-0.06742219788858028,1.0555906384329172,0.4864444223778803,1.09416123459231,0.5539143491510148
32001,FULL,-0.0007576851028927578,-0.05315294776668944,-0.05239526266379668,0.4924077800093618,0.3036900230516941,0.5080303551015724,0.34032684868142926
32002,FULL,-0.007782602009829276,-0.04195599109156145,-0.034173389081732175,0.682422662195038,0.3720737040182234,0.6812959838917945,0.4049711072033626
32003,FULL,-0.008240703218780343,-0.05256433770470714,-0.0443236344859268,0.6740805725946235,0.3254120691727971,0.680681961552464,0.3498713181086319
32004,FULL,-0.003899740386397621,-0.04688554124558042,-0.0429858008591828,0.7060077009084353,0.38166595110302115,0.7087619569400043,0.3934639846472494
32005,FULL,-0.006254867679867271,-0.05762053388325805,-0.05136566620339078,0.5926267727321954,0.2950267923043268,0.5888269693676738,0.3124895869823736
32006,FULL,-0.014117709517903698,-0.05572056943266235,-0.04160285991475865,0.947754454088036,0.43842891859896516,0.9077983300858177,0.450318915806019
32007,FULL,-0.004639658809875158,-0.06598348261265663,-0.06134382380278147,0.7581578616370657,0.344515973999002,0.8245825353296785,0.3892724558459493
32008,FULL,-0.006015902563480946,-0.05445941321916825,-0.048443510655687305,0.7293200503811414,0.295692075549153,0.716327082754945,0.3159378656653711
32009,FULL,-0.002784845057052454,-0.03613466091944195,-0.0333498158623895,0.8361834774090413,0.34189853221273436,0.7529998421132509,0.39396959473695214
32000,HEAD_ONLY,-0.021117129701242465,-0.06557470551739542,-0.04445757581615295,0.30961303273451035,0.0,0.29720210632957467,0.0
32001,HEAD_ONLY,-0.018572768185526112,-0.05315294776668944,-0.03458017958116333,0.1779343274588039,0.0,0.19603944889698788,0.0
32002,HEAD_ONLY,-0.019010433575296748,-0.04195599109156145,-0.022945557516264703,0.2095237541852384,0.0,0.24685919269931067,0.0
32003,HEAD_ONLY,-0.020595973929452338,-0.05256433770470714,-0.031968363775254804,0.24014402674754165,0.0,0.23826671964984691,0.0
32004,HEAD_ONLY,-0.015775651735726814,-0.04688554124558042,-0.031109889509853605,0.270514064950365,0.0,0.3030986426104476,0.0
32005,HEAD_ONLY,-0.0202248887760641,-0.05762053388325805,-0.03739564510719395,0.20792899188667646,0.0,0.23452995078349792,0.0
32006,HEAD_ONLY,-0.0199796784008357,-0.05572056943266235,-0.03574089103182665,0.1952225905015481,0.0,0.17945398454964434,0.0
32007,HEAD_ONLY,-0.030470374315970883,-0.06598348261265663,-0.03551310829668575,0.26003141885942704,0.0,0.2618998291249637,0.0
32008,HEAD_ONLY,-0.019640358383459233,-0.05445941321916825,-0.03481905483570902,0.2463922704074628,0.0,0.27119319665448205,0.0
32009,HEAD_ONLY,-0.018618565715828872,-0.03613466091944195,-0.01751609520361308,0.21649527221591702,0.0,0.23234451176218074,0.0
32000,BODY_ONLY,-0.0067884154484754156,-0.06557470551739542,-0.05878629006892,0.8831703862190312,0.8831703862190312,1.0023046436646539,1.0023046436646539
32001,BODY_ONLY,-0.005768864389949613,-0.05315294776668944,-0.04738408337673983,0.4174280684869467,0.4174280684869467,0.4497166738607161,0.4497166738607161
32002,BODY_ONLY,-0.010463100256913993,-0.04195599109156145,-0.03149289083464746,0.6094409434304191,0.6094409434304191,0.6386545130957957,0.6386545130957957
32003,BODY_ONLY,-0.005959451365263657,-0.05256433770470714,-0.046604886339443485,0.4975103897554367,0.4975103897554367,0.5395882438185937,0.5395882438185937
32004,BODY_ONLY,-0.0056027244085199435,-0.04688554124558042,-0.041282816837060476,0.6937091927487269,0.6937091927487269,0.7044757573399922,0.7044757573399922
32005,BODY_ONLY,-0.01185434940372554,-0.05762053388325805,-0.04576618447953251,0.48900526937794875,0.48900526937794875,0.5150518000488056,0.5150518000488056
32006,BODY_ONLY,-0.012203979000365184,-0.05572056943266235,-0.043516590432297164,0.7420882772462611,0.7420882772462611,0.7690750763880525,0.7690750763880525
32007,BODY_ONLY,-0.006283408483611641,-0.06598348261265663,-0.05970007412904499,0.5494038699360109,0.5494038699360109,0.581640882325295,0.581640882325295
32008,BODY_ONLY,-0.008685054766478295,-0.05445941321916825,-0.045774358452689956,0.4646543185587264,0.4646543185587264,0.49281013561174913,0.49281013561174913
32009,BODY_ONLY,-0.005995740202197286,-0.03613466091944195,-0.030138920717244666,0.5978980412213022,0.5978980412213022,0.6856524170754625,0.6856524170754625
