seed,condition,mode,EN_initial,EN_final250,EN_gain,JA_initial,JA_final_shared,JA_final_routed,JA_shared_increase,JA_routed_increase,trainable_parameters
32000,JA_TJA,FULL,3.217500776361299,2.443396602238114,0.7741041741231851,1.8749123374881773,2.9690735720804873,2.428826686639192,1.09416123459231,0.5539143491510148,141056
32000,JA_TJA,HEAD_ONLY,3.217500776361299,2.692583325413322,0.524917450947977,1.8749123374881773,2.172114443817752,1.8749123374881773,0.29720210632957467,0.0,16384
32000,JA_TJA,BODY_ONLY,3.217500776361299,2.516726921716853,0.7007738546444462,1.8749123374881773,2.877216981152831,2.877216981152831,1.0023046436646539,1.0023046436646539,124672
32000,JA_TEN,FULL,3.1519260708439036,2.445244094609299,0.7066819762346048,1.8868774391088685,2.9424680775417857,2.373321861486749,1.0555906384329172,0.4864444223778803,141056
32000,JA_TEN,HEAD_ONLY,3.1519260708439036,2.6714661957120795,0.4804598751318241,1.8868774391088685,2.196490471843379,1.8868774391088685,0.30961303273451035,0.0,16384
32000,JA_TEN,BODY_ONLY,3.1519260708439036,2.5099385062683774,0.6419875645755262,1.8868774391088685,2.7700478253278997,2.7700478253278997,0.8831703862190312,0.8831703862190312,124672
32001,JA_TJA,FULL,3.17703328625782,2.4427968222705907,0.7342364639872292,1.9059012710260466,2.413931626127619,2.246228119707476,0.5080303551015724,0.34032684868142926,141056
32001,JA_TJA,HEAD_ONLY,3.17703328625782,2.685902338372988,0.491130947884832,1.9059012710260466,2.1019407199230344,1.9059012710260466,0.19603944889698788,0.0,16384
32001,JA_TJA,BODY_ONLY,3.17703328625782,2.511690801815448,0.6653424844423719,1.9059012710260466,2.3556179448867627,2.3556179448867627,0.4497166738607161,0.4497166738607161,124672
32001,JA_TEN,FULL,3.1238803384911304,2.442039137167698,0.6818412013234325,1.917063215584274,2.4094709955936358,2.220753238635968,0.4924077800093618,0.3036900230516941,141056
32001,JA_TEN,HEAD_ONLY,3.1238803384911304,2.6673295701874618,0.4565507683036687,1.917063215584274,2.094997543043078,1.917063215584274,0.1779343274588039,0.0,16384
32001,JA_TEN,BODY_ONLY,3.1238803384911304,2.5059219374254984,0.617958401065632,1.917063215584274,2.3344912840712206,2.3344912840712206,0.4174280684869467,0.4174280684869467,124672
32002,JA_TJA,FULL,3.2565904539531814,2.4356368798190444,0.8209535741341369,1.8841477987483588,2.5654437826401533,2.2891189059517214,0.6812959838917945,0.4049711072033626,141056
32002,JA_TJA,HEAD_ONLY,3.2565904539531814,2.6878425814616205,0.5687478724915609,1.8841477987483588,2.1310069914476695,1.8841477987483588,0.24685919269931067,0.0,16384
32002,JA_TJA,BODY_ONLY,3.2565904539531814,2.506551004998791,0.7500394489543902,1.8841477987483588,2.5228023118441545,2.5228023118441545,0.6386545130957957,0.6386545130957957,124672
