seed,EN_initial_body_under_JA_head,EN_initial_body_under_EN_head,EN_initial_body_main,EN_initial_head_main,EN_initial_interaction,EN_final250_body_under_JA_head,EN_final250_body_under_EN_head,EN_final250_body_main,EN_final250_head_main,EN_final250_interaction,body_main_gain_difference
32000,-0.03323619166453051,-0.0440219065529015,-0.03862904910871601,-0.026945656408679408,-0.01078571488837099,-0.020883725865909586,-0.021383634527603057,-0.02113368019675632,1.6550495513856234e-05,-0.0004999086616934711,-0.017495368911959686
32001,0.006909183805472008,-0.01447481681435514,-0.0037828165044415663,-0.049370131262247874,-0.021384000619827148,-0.0179447536862547,-0.01848913997142798,-0.01821694682884134,-0.0003558213566847712,-0.0005443862851732817,0.014434130324399774
32002,-0.025321898225903805,-0.036266505992213816,-0.03079420210905881,-0.01116178898250264,-0.01094460776631001,-0.019203271158771962,-0.01949869075433508,-0.01935098095655352,0.00034054738125677275,-0.0002954195955631178,-0.01144322115250529
32003,-0.022716658308275406,-0.034565355417699006,-0.028641006862987206,-0.023923330841719936,-0.0118486971094236,-0.02035304917537184,-0.020796706257309783,-0.02057487771634081,-2.109621311152665e-05,-0.0004436570819379426,-0.008066129146646395
32004,-0.014006591645193023,-0.026947604270389114,-0.02047709795779107,-0.02640844328778935,-0.012941012625196091,-0.015854094107108363,-0.016344036913837012,-0.016099065510472688,0.0003234137747458732,-0.0004899428067286493,-0.004378032447318381
32005,-0.035142040610446124,-0.05164380551836789,-0.04339292306440701,-0.014227610818851044,-0.016501764907921768,-0.02005698654306931,-0.020250715923785023,-0.020153851233427167,-7.10375426369314e-05,-0.00019372938071571255,-0.02323907183097984
32006,-0.0022789623609309473,-0.010847884599815671,-0.006563423480373309,-0.04915714595228904,-0.008568922238884724,-0.019787874057744848,-0.020065416979737627,-0.019926645518741237,-5.303288209446144e-05,-0.0002775429219927794,0.013363222038367928
32007,-0.05828804922957165,-0.06412889130270205,-0.06120847026613685,-0.00477501234651978,-0.005840842073130403,-0.0307296758707869,-0.030893857297966232,-0.030811766584376565,0.0003413922684056825,-0.00016418142717933293,-0.030396703681760284
32008,-0.04258652081308645,-0.055388352429346366,-0.04898743662121641,-0.005471976597951844,-0.012801831616259918,-0.019416948328663253,-0.01981650043022798,-0.019616724379445616,-2.363400401361737e-05,-0.0003995521015647263,-0.02937071224177079
32009,0.0027329719775170958,-0.01619349851513796,-0.0067302632688104325,-0.02940439765063152,-0.018926470492655056,-0.017695346381069843,-0.018185854765823795,-0.01794060057344682,-0.0006779651423820532,-0.0004905083847539515,0.011210337304636386
