seed,body,initial_head,EN_initial,EN_final250,EN_gain,origin
32000,JA_TJA,JA_TJA,3.217500776361299,2.692583325413322,0.524917450947977,original_locus_diagonal
32000,JA_TEN,JA_TEN,3.1519260708439036,2.6714661957120795,0.4804598751318241,original_locus_diagonal
32001,JA_TJA,JA_TJA,3.17703328625782,2.685902338372988,0.491130947884832,original_locus_diagonal
32001,JA_TEN,JA_TEN,3.1238803384911304,2.6673295701874618,0.4565507683036687,original_locus_diagonal
32002,JA_TJA,JA_TJA,3.2565904539531814,2.6878425814616205,0.5687478724915609,original_locus_diagonal
32002,JA_TEN,JA_TEN,3.21463446286162,2.6688321478863237,0.5458023149752962,original_locus_diagonal
32003,JA_TJA,JA_TJA,3.209515605159464,2.690025510687518,0.519490094471946,original_locus_diagonal
32003,JA_TEN,JA_TEN,3.156951267454757,2.6694295367580656,0.48752173069669125,original_locus_diagonal
32004,JA_TJA,JA_TJA,3.327806079709713,2.679106923542285,0.648699156167428,original_locus_diagonal
32004,JA_TEN,JA_TEN,3.2809205384641325,2.663331271806558,0.6175892666575744,original_locus_diagonal
32005,JA_TJA,JA_TJA,3.2208165952155636,2.687033510210545,0.5337830850050187,original_locus_diagonal
32005,JA_TEN,JA_TEN,3.1631960613323056,2.666808621434481,0.49638743989782474,original_locus_diagonal
32006,JA_TJA,JA_TJA,3.1938355049501066,2.675026384743206,0.5188091202069005,original_locus_diagonal
32006,JA_TEN,JA_TEN,3.1381149355174442,2.6550467063423704,0.48306822917507386,original_locus_diagonal
32007,JA_TJA,JA_TJA,3.3738788162121636,2.715043860425974,0.6588349557861894,original_locus_diagonal
32007,JA_TEN,JA_TEN,3.307895333599507,2.6845734861100032,0.6233218474895037,original_locus_diagonal
32008,JA_TJA,JA_TJA,3.238275114420945,2.6677113345469134,0.5705637798740315,original_locus_diagonal
32008,JA_TEN,JA_TEN,3.1838157012017767,2.648070976163454,0.5357447250383225,original_locus_diagonal
32009,JA_TJA,JA_TJA,3.1445598229425396,2.702299106582142,0.44226071636039777,original_locus_diagonal
32009,JA_TEN,JA_TEN,3.1084251620230976,2.683680540866313,0.4247446211567847,original_locus_diagonal
32000,JA_TJA,JA_TEN,3.195947977396805,2.6928498302396826,0.5030981471571225,new_swap_offdiagonal
32000,JA_TEN,JA_TJA,3.1842645846967685,2.6716995995474124,0.5125649851493561,new_swap_offdiagonal
32001,JA_TJA,JA_TEN,3.1383551553054856,2.6858187101588897,0.45253644514659586,new_swap_offdiagonal
32001,JA_TEN,JA_TJA,3.183942470063292,2.667957584686733,0.5159848853765587,new_swap_offdiagonal
32002,JA_TJA,JA_TEN,3.2509009688538337,2.688330838640659,0.5625701302131749,new_swap_offdiagonal
32002,JA_TEN,JA_TJA,3.2312685557272776,2.6686393103028485,0.562629245424429,new_swap_offdiagonal
32003,JA_TJA,JA_TEN,3.191516622872456,2.6902262430153754,0.5012903798570805,new_swap_offdiagonal
32003,JA_TEN,JA_TJA,3.1867989468511886,2.669672461512146,0.5171264853390425,new_swap_offdiagonal
32004,JA_TJA,JA_TEN,3.3078681427345216,2.679675308720395,0.6281928340141265,new_swap_offdiagonal
32004,JA_TEN,JA_TJA,3.31379948806452,2.6632528294351765,0.6505466586293434,new_swap_offdiagonal
32005,JA_TJA,JA_TEN,3.2148398668506735,2.687059337358266,0.5277805294924076,new_swap_offdiagonal
32005,JA_TEN,JA_TJA,3.1856745546051175,2.6669765236674756,0.5186980309376419,new_swap_offdiagonal
32006,JA_TJA,JA_TEN,3.14896282011726,2.675112123322108,0.4738506967951519,new_swap_offdiagonal
32006,JA_TEN,JA_TJA,3.1915565425891756,2.6552385106854612,0.5363180319037144,new_swap_offdiagonal
32007,JA_TJA,JA_TEN,3.372024224902209,2.7154673434079695,0.6565568814942395,new_swap_offdiagonal
32007,JA_TEN,JA_TJA,3.315590766982592,2.684314184555187,0.6312765824274047,new_swap_offdiagonal
32008,JA_TJA,JA_TEN,3.239204053631123,2.667887476593682,0.5713165770374409,new_swap_offdiagonal
32008,JA_TEN,JA_TJA,3.1956885936078585,2.64829438621825,0.5473942073896083,new_swap_offdiagonal
32009,JA_TJA,JA_TEN,3.1246186605382356,2.7018663956321367,0.42275226490609885,new_swap_offdiagonal
32009,JA_TEN,JA_TJA,3.1472927949200566,2.684603760201072,0.4626890347189847,new_swap_offdiagonal
